Symbol,Observations,Average_Close,Close_Volatility,Min_Close,Max_Close,Average_Volume,Median_Volume,Quality_Score
SERVICE.NS,711,60.122081552712054,10.522561846053064,40.45000076293945,93.6500015258789,19957.805907172995,6000.0,100
SERVOTECH.NS,1600,55.175924980044364,56.28668893616825,0.699999988079071,201.5800018310547,691776.84375,368305.5,100
SESHAPAPER.NS,1599,239.94352104277667,72.99098507417278,83.19999694824219,396.0,82259.0731707317,39147.0,100
SETCO.NS,1598,13.48232791390974,4.679836436887358,5.0,28.6200008392334,150723.69274092617,90115.0,95
SETL.NS,353,155.04614757073162,22.246336162235973,105.6500015258789,199.4499969482422,1071986.5580736543,273753.0,100
SEYAIND.NS,1598,37.491583224381316,21.79458148190958,8.710000038146973,117.75,21473.425531914894,9528.0,90
SFL.NS,1600,1000.3198120880127,323.4763937335041,465.04998779296875,1972.199951171875,96797.144375,47657.0,100
SGIL.NS,1207,312.61768404906115,153.51232447988346,110.0999984741211,602.5,33462.351284175646,14288.0,100
SGL.NS,1598,15.179874840904684,6.117198980946115,5.599999904632568,37.95000076293945,61165.496871088864,21573.0,100
SHAH.NS,1596,3.215425066257778,1.1375582614093267,0.9516549706459045,7.019999980926514,1372434.134085213,557959.5,100
SHAHALLOYS.NS,1599,48.30279548023551,26.683412682538556,4.699999809265137,128.8000030517578,32899.26328955597,12347.0,100
SHAILY.NS,1039,1033.9059784992942,807.4943206738719,193.75,3144.800048828125,129448.42540904717,62935.0,100
SHAIVAL.NS,1597,32.13803955727842,1.1112859721451058,30.5,33.25,252.47338760175327,0.0,100
SHAKTIPUMP.NS,1600,310.7800627529621,329.8936093474686,17.483333587646484,1344.8499755859375,929674.606875,388428.0,100
SHALBY.NS,1600,171.03155628442764,66.13568800209266,42.54999923706055,323.04998779296875,324545.046875,151848.0,100
SHALPAINTS.NS,1600,115.09603122234344,40.11436009986558,36.08000183105469,217.75,242327.975,114776.0,100
SHANKARA.NS,1598,551.7869587254912,231.61591501979441,99.97000122070312,1196.199951171875,131053.41051314143,70510.0,100
SHANTHALA.NS,643,50.26244164106449,26.673779365953116,21.0,138.8000030517578,9152.099533437015,3600.0,85
SHANTI.NS,1597,18.1921415320022,5.524451364006959,5.150000095367432,38.599998474121094,59629.188478396994,10985.0,100
SHANTIGEAR.NS,1599,338.84640388655765,179.25324952646017,57.75,685.0499877929688,111167.53846153847,42117.0,100
SHARDACROP.NS,1599,509.5340522398719,237.7514357083753,101.75,1256.0,276729.65666041273,135058.0,100
SHARDAMOTR.NS,1599,865.9828732307438,553.0735745037563,106.35778045654297,2925.449951171875,49106.33583489681,23899.0,100
SHAREINDIA.NS,1420,204.87385836990785,91.37203260070797,19.449609756469727,399.489990234375,549737.2845070423,323416.5,100
SHEETAL.NS,619,117.72940218776031,66.55870606909568,55.45000076293945,297.6000061035156,36779.48303715671,20000.0,100
SHEKHAWATI.NS,1598,14.453160163607258,15.30774787654663,1.5,90.0,22271.62453066333,7884.5,100
SHEMAROO.NS,1598,121.74516274424757,35.06518604465476,42.349998474121094,231.0500030517578,91339.19086357947,35086.0,100
SHERA.NS,816,147.797058727227,34.916991304792695,57.0,223.14999389648438,62825.98039215686,30000.0,100
SHIGAN.NS,1040,93.00105767983656,23.271094459909985,41.25,160.39999389648438,21073.55769230769,7500.0,95
SHILPAMED.NS,1600,262.87601588726045,97.38917959434933,114.0999984741211,569.1500244140625,895751.11875,403247.0,100
SHIVALIK.NS,1118,648.0088548336131,188.81928352546797,209.5,1167.4000244140625,31917.85778175313,15821.0,100
SHIVAMAUTO.NS,1599,28.17802843293076,9.794851950880007,8.098311424255371,60.939998626708984,181060.44652908068,85061.0,100
SHIVAMILLS.NS,1598,75.84842930031061,30.726639555913817,18.5,191.60000610351562,26690.37922403004,9371.0,100
SHIVATEX.NS,1598,160.41735275039386,45.921545969643255,50.0,296.0,23307.168335419276,8444.5,100
SHIVAUM.NS,1596,191.70686084584784,111.74806722791952,41.900001525878906,365.1000061035156,2369.094611528822,0.0,100
SHK.NS,1600,156.91516256809234,52.854078434520574,48.900001525878906,327.29998779296875,543223.3075,281343.0,100
SHOPERSTOP.NS,1600,481.38536904335024,213.37597955768229,125.63313293457031,914.0499877929688,195493.4675,77843.5,100
SHRADHA.NS,1597,26.741310896542046,22.388444291045804,4.190475940704346,103.20999908447266,94221.02442078898,17816.0,100
SHREDIGCEM.NS,1600,74.66237502574921,19.800241233854123,20.700000762939453,117.44999694824219,609083.46875,324663.0,100
SHREECEM.NS,1600,25365.60334716797,3013.904402119219,15783.7998046875,32345.0,46082.0,35754.5,100
SHREEKARNI.NS,555,567.6728833447705,129.90805425228322,273.0,840.0,13338.378378378378,4500.0,100
SHREEOSFM.NS,611,113.34680855059585,32.376473308638474,50.349998474121094,203.10000610351562,28815.05728314239,16000.0,100
SHREEPUSHK.NS,1600,221.5939374256134,84.74606939953614,59.349998474121094,454.75,122433.63125,59582.0,100
SHREERAMA.NS,1599,22.27198036944143,16.706439011693337,2.9279680252075195,69.2300033569336,149171.01125703566,67556.0,95
SHREMINVIT.NS,1168,108.66744005516784,6.605742071885986,94.25,118.0,66138.69863013699,0.0,100
SHRENIK.NS,1599,2.077807962931716,2.0021621530480624,0.36000001430511475,9.800000190734863,2025549.8699186991,1100129.0,100
SHREYANIND.NS,1598,163.02559459910674,65.91387600650916,59.25,331.29998779296875,41172.456195244056,16945.5,100
SHRIPISTON.NS,1599,1201.7917612921528,981.5535137600366,199.47500610351562,3741.89990234375,51288.9287054409,5834.0,100
SHRIRAMFIN.NS,1600,414.68752279281614,242.0621434514361,88.09126281738281,1104.5999755859375,9624043.808125,6241558.0,100
SHRIRAMPPS.NS,1111,89.36156613326737,19.414416062439663,54.54999923706055,144.82000732421875,1767574.5661566157,834323.0,100
SHRITECH.NS,703,72.00106687803526,10.180898457737253,51.349998474121094,103.80000305175781,42170.69701280227,16000.0,100
SHUBHLAXMI.NS,1596,35.17265034319464,24.632045602678755,11.550000190734863,112.75,12585.213032581454,5000.0,100
SHYAMCENT.NS,1598,13.02397997216677,7.361820983703985,1.850000023841858,36.25,351032.71526908636,165792.5,100
SHYAMMETL.NS,1232,573.879707113489,243.820870985337,255.39999389648438,1002.0,590819.6996753247,296443.5,100
SHYAMTEL.NS,1598,11.376689610403679,4.477011864447,4.699999809265137,34.33000183105469,4799.070087609512,1479.5,75
SICAGEN.NS,436,18.876674326187974,12.088932637686641,8.149999618530273,57.47999954223633,30219.639908256882,15866.5,100
SICALLOG.NS,1597,152.44119416525308,55.56499671365338,63.0,324.0,16610.629304946775,6440.0,100
SIDDHIKA.NS,1255,114.93019905698252,63.60839505933879,26.024999618530273,248.0,5041.832669322709,1000.0,100
SIEMENS.NS,1599,2155.0283526431926,1123.4553154598366,584.6808471679688,4687.9541015625,707705.6973108193,532121.0,100
SIGACHI.NS,1134,39.421089032760165,15.080521906739566,16.920000076293945,91.5,3555613.9312169314,1504457.0,100
SIGIND.NS,1598,47.05986858876387,17.631486559790577,14.550000190734863,94.0999984741211,63364.837296620775,21680.0,100
SIGMA.NS,1382,198.2275209661503,155.73806256567198,16.799999237060547,556.75,72173.2496382055,9163.0,100
