Symbol,Start_Date,End_Date,Observations,Coverage_Years,Pass_Min_History,Coverage_Score
ASIANTILES,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASKAUTOLTD,2023-11-15 00:00:00+05:30,2026-08-04 00:00:00+05:30,673,2.6706349206349205,True,53.41269841269841
ASTEC,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASTERDM,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASTRAL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASTRAMICRO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ASTRAZEN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
ATALREAL,2020-11-19 00:00:00+05:30,2026-08-04 00:00:00+05:30,1410,5.595238095238095,True,100.0
ATGL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ATHERENERG,2025-05-06 00:00:00+05:30,2026-08-04 00:00:00+05:30,313,1.242063492063492,True,24.841269841269842
ATL,2023-08-10 00:00:00+05:30,2026-08-04 00:00:00+05:30,734,2.9126984126984126,True,58.25396825396826
ATMASTCO,2024-02-23 00:00:00+05:30,2026-07-31 00:00:00+05:30,601,2.384920634920635,True,47.6984126984127
ATUL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ATULAUTO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AUBANK,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AURIONPRO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AUROPHARMA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AURUM,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AUTOAXLES,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AUTOIND,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AVADHSUGAR,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AVALON,2023-04-18 00:00:00+05:30,2026-08-04 00:00:00+05:30,817,3.242063492063492,True,64.84126984126985
AVANTEL,2024-07-31 00:00:00+05:30,2026-08-04 00:00:00+05:30,500,1.9841269841269842,True,39.682539682539684
AVANTIFEED,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AVL,2024-11-06 00:00:00+05:30,2026-08-04 00:00:00+05:30,431,1.7103174603174602,True,34.20634920634921
AVTNPL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
AWFIS,2024-05-30 00:00:00+05:30,2026-08-04 00:00:00+05:30,543,2.1547619047619047,True,43.095238095238095
AWHCL,2021-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1383,5.488095238095238,True,100.0
AWL,2022-02-08 00:00:00+05:30,2026-08-04 00:00:00+05:30,1110,4.404761904761905,True,88.09523809523809
AXISBANK,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AXISCADES,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AYMSYNTEX,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AZAD,2023-12-28 00:00:00+05:30,2026-08-04 00:00:00+05:30,644,2.5555555555555554,True,51.11111111111111
BAHETI,2022-12-08 00:00:00+05:30,2026-07-31 00:00:00+05:30,901,3.5753968253968256,True,71.5079365079365
BAJAJ-AUTO,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BAJAJCON,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BAJAJELEC,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BAJAJFINSV,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BAJAJHCARE,2021-11-25 00:00:00+05:30,2026-08-04 00:00:00+05:30,1162,4.611111111111111,True,92.22222222222223
BAJAJHFL,2024-09-16 00:00:00+05:30,2026-08-04 00:00:00+05:30,469,1.8611111111111112,True,37.22222222222222
BAJAJHLDNG,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BAJAJINDEF,2025-02-21 00:00:00+05:30,2026-08-04 00:00:00+05:30,357,1.4166666666666667,True,28.333333333333332
BAJEL,2023-12-19 00:00:00+05:30,2026-08-04 00:00:00+05:30,650,2.5793650793650795,True,51.587301587301596
BAJFINANCE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BALAJITELE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BALAMINES,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BALKRISIND,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BALMLAWRIE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BALRAMCHIN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BALUFORGE,2024-04-29 00:00:00+05:30,2026-08-04 00:00:00+05:30,564,2.238095238095238,True,44.761904761904766
BANCOINDIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BANDHANBNK,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BANKBARODA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BANKINDIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BANSALWIRE,2024-07-10 00:00:00+05:30,2026-08-04 00:00:00+05:30,513,2.0357142857142856,True,40.714285714285715
BANSWRAS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
BASF,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BASILIC,2023-09-11 00:00:00+05:30,2026-07-31 00:00:00+05:30,713,2.8293650793650795,True,56.58730158730159
BATAINDIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BAYERCROP,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BBL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BBOX,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BBTC,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BCLIND,2021-03-04 00:00:00+05:30,2026-08-04 00:00:00+05:30,1339,5.313492063492063,True,100.0
BDL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BECTORFOOD,2020-12-24 00:00:00+05:30,2026-08-04 00:00:00+05:30,1388,5.507936507936508,True,100.0
BEL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BELRISE,2025-05-28 00:00:00+05:30,2026-08-04 00:00:00+05:30,297,1.1785714285714286,True,23.57142857142857
BEML,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BEPL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BERGEPAINT,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BFINVEST,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BFUTILITIE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BGRENERGY,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
BHAGCHEM,2021-10-18 00:00:00+05:30,2026-08-04 00:00:00+05:30,1186,4.7063492063492065,True,94.12698412698413
BHAGERIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BHAGYANGR,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BHARATFORG,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BHARATGEAR,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BHARATRAS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BHARATSE,2025-03-25 00:00:00+05:30,2026-08-04 00:00:00+05:30,338,1.3412698412698412,True,26.825396825396826
BHARATWIRE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BHARTIARTL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BHARTIHEXA,2024-04-12 00:00:00+05:30,2026-08-04 00:00:00+05:30,574,2.2777777777777777,True,45.55555555555556
BHEL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BIGBLOC,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BIKAJI,2022-11-16 00:00:00+05:30,2026-08-04 00:00:00+05:30,919,3.6468253968253967,True,72.93650793650794
BIOCON,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BIRET,2021-02-16 00:00:00+05:30,2026-07-31 00:00:00+05:30,1349,5.353174603174603,True,100.0
BIRLACABLE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BIRLACORPN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BIRLAMONEY,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
BIRLANU,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
BLACKBUCK,2024-11-22 00:00:00+05:30,2026-08-04 00:00:00+05:30,422,1.6746031746031746,True,33.49206349206349
BLAL,2023-04-19 00:00:00+05:30,2026-08-04 00:00:00+05:30,816,3.238095238095238,True,64.76190476190476
BLISSGVS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BLKASHYAP,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BLS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BLSE,2024-02-06 00:00:00+05:30,2026-08-04 00:00:00+05:30,618,2.4523809523809526,True,49.047619047619044
BLUEDART,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
BLUEJET,2023-11-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,682,2.7063492063492065,True,54.12698412698413
