Symbol,Observations,Missing_Count,Missing_Pct,Coverage_Pct,Eligible
BIKAJI.NS,888,714,0.44569288389513106,55.430711610486895,False
BIL.NS,1602,0,0.0,100.0,True
BIOCON.NS,1602,0,0.0,100.0,True
BIOFILCHEM.NS,1602,0,0.0,100.0,True
BIRDYS.NS,536,1066,0.66541822721598,33.458177278402005,False
BIRET.NS,1320,282,0.1760299625468165,82.39700374531836,False
BIRLACABLE.NS,1602,0,0.0,100.0,True
BIRLACORPN.NS,1602,0,0.0,100.0,True
BIRLAMONEY.NS,1602,0,0.0,100.0,True
BIRLANU.NS,1602,0,0.0,100.0,True
BLAL.NS,784,818,0.5106117353308365,48.93882646691635,False
BLBLIMITED.NS,1602,0,0.0,100.0,True
BLISSGVS.NS,1602,0,0.0,100.0,True
BLKASHYAP.NS,1602,0,0.0,100.0,True
BLS.NS,1602,0,0.0,100.0,True
BLSE.NS,586,1016,0.634207240948814,36.5792759051186,False
BLUECHIP.NS,1602,0,0.0,100.0,True
BLUECOAST.NS,1602,0,0.0,100.0,True
BLUEDART.NS,1602,0,0.0,100.0,True
BLUEJET.NS,650,952,0.5942571785268415,40.574282147315856,False
BLUEPEBBLE.NS,548,1054,0.6579275905118602,34.207240948813975,False
BLUESTARCO.NS,1602,0,0.0,100.0,True
BMETRICS.NS,1149,453,0.28277153558052437,71.72284644194757,False
BODALCHEM.NS,1602,0,0.0,100.0,True
BOHRAIND.NS,1602,0,0.0,100.0,True
BOMDYEING.NS,1602,0,0.0,100.0,True
BOROLTD.NS,1465,137,0.08551810237203496,91.4481897627965,True
BORORENEW.NS,1602,0,0.0,100.0,True
BOROSCI.NS,505,1097,0.684769038701623,31.523096129837704,False
BOSCH-HCIL.NS,1602,0,0.0,100.0,True
BOSCHLTD.NS,1602,0,0.0,100.0,True
BPCL.NS,1602,0,0.0,100.0,True
BPL.NS,1602,0,0.0,100.0,True
BRIGADE.NS,1602,0,0.0,100.0,True
BRITANNIA.NS,1602,0,0.0,100.0,True
BRNL.NS,1602,0,0.0,100.0,True
BROOKS.NS,1602,0,0.0,100.0,True
BSE.NS,1602,0,0.0,100.0,True
BSHSL.NS,1602,0,0.0,100.0,True
BSL.NS,1602,0,0.0,100.0,True
BSOFT.NS,1602,0,0.0,100.0,True
BTML.NS,1385,217,0.13545568039950062,86.45443196004993,False
BUTTERFLY.NS,1602,0,0.0,100.0,True
BVCL.NS,1602,0,0.0,100.0,True
BYKE.NS,1602,0,0.0,100.0,True
CADSYS.NS,1602,0,0.0,100.0,True
CALSOFT.NS,1602,0,0.0,100.0,True
CAMLINFINE.NS,1602,0,0.0,100.0,True
CAMPUS.NS,1019,583,0.36392009987515606,63.60799001248439,False
CAMS.NS,1413,189,0.11797752808988764,88.20224719101124,False
CANARYS.NS,664,938,0.5855181023720349,41.4481897627965,False
CANBK.NS,1602,0,0.0,100.0,True
CANFINHOME.NS,1602,0,0.0,100.0,True
CANTABIL.NS,1602,0,0.0,100.0,True
CAPACITE.NS,1602,0,0.0,100.0,True
CAPITALSFB.NS,580,1022,0.6379525593008739,36.20474406991261,False
CAPLIPOINT.NS,1602,0,0.0,100.0,True
CAPTRUST.NS,1602,0,0.0,100.0,True
CARBORUNIV.NS,1602,0,0.0,100.0,True
