Symbol,Annualized_Volatility
DEVYANI.NS,0.3695505193969556
DGCONTENT.NS,0.5444283166328183
DHAMPURSUG.NS,0.4544431535836566
DHANBANK.NS,0.4793191166380087
DHANUKA.NS,0.36608472018935745
DHARMAJ.NS,0.44009905985319697
DHRUV.NS,0.5008517455045144
DHTL.NS,0.5884191593674409
DHUNINV.NS,0.5173374019431125
DIACABS.NS,0.6072272240750604
DIAMINESQ.NS,0.43549538098082013
DIAMONDYD.NS,0.36793499583338696
DICIND.NS,0.3541614055060335
DIGIDRIVE.NS,0.4728897145883553
DIGIKORE.NS,0.6114044051497243
DIGISPICE.NS,0.5536263547112235
DIGJAMLMTD.NS,0.46294291948094024
DISHTV.NS,0.571083574719121
DIVGIITTS.NS,0.38639353774955876
DIVISLAB.NS,0.2848954280810364
DIXON.NS,0.4036410773259459
DJML.NS,0.4559583336113865
DKEGL.NS,0.6413025823053832
DLF.NS,0.3874304506426182
DLINKINDIA.NS,0.4964960665036627
DMART.NS,0.3013085038987837
DMCC.NS,0.48108424106139114
DNAMEDIA.NS,0.7280713950321647
DODLA.NS,0.3579905209352412
DOLATALGO.NS,0.5088982414605228
DOLLAR.NS,0.4380991058784673
DOLLEX.NS,0.44659598265171285
DOLPHIN.NS,0.3422983842808225
DOMS.NS,0.3695850257239307
DONEAR.NS,0.49649437336229496
DPABHUSHAN.NS,0.48800943493492627
DPSCLTD.NS,0.5514226023366653
DPWIRES.NS,0.5428011216226379
DRCSYSTEMS.NS,0.5548422255432869
DREAMFOLKS.NS,0.43022924212530755
DREDGECORP.NS,0.5053534915174466
DRONE.NS,0.5551417578256491
DRREDDY.NS,0.2470737436066625
DRSDILIP.NS,0.33429021780216367
DSSL.NS,0.6422499467250032
DTIL.NS,0.44163340879549134
DUCOL.NS,0.514747806863693
DUCON.NS,0.5737723960538453
DUGLOBAL.NS,0.6015830470384104
DVL.NS,0.4780163714592077
DWARKESH.NS,0.4696186649160356
DYCL.NS,0.552308748249465
DYNAMATECH.NS,0.49231786057044075
DYNAMIC.NS,0.6093600935485421
DYNPRO.NS,0.5172258227838435
E2E.NS,0.5471890891585075
EASEMYTRIP.NS,0.5191445419416925
EASTSILK.NS,0.4899326231708988
ECLERX.NS,0.421211540380886
EDELWEISS.NS,0.5007167824615975
EFACTOR.NS,0.6590132945765929
EFORCE.NS,0.5395940105266763
EICHERMOT.NS,0.29855516754208994
EIDPARRY.NS,0.3961054705369902
EIFFL.NS,0.43509315548058314
EIHAHOTELS.NS,0.42348016663157884
EIHOTEL.NS,0.40716204881105217
EIMCOELECO.NS,0.5038623157159234
EKC.NS,0.5554414548231322
ELDEHSG.NS,0.423953343056472
ELECON.NS,0.5454047710237442
ELECTCAST.NS,0.5088998752599784
ELECTHERM.NS,0.544600781950807
ELGIEQUIP.NS,0.4535271908981133
ELGIRUBCO.NS,0.5877105248925193
ELIN.NS,0.4666794794495232
EMAMILTD.NS,0.3411292850478285
EMAMIREAL.NS,0.5443383190855131
EMBASSY.NS,0.22368695215817633
EMBDL.NS,0.5727286052957029
EMIL.NS,0.45449911897429046
EMKAY.NS,0.5661320219619492
EMKAYTOOLS.NS,0.4874904598249671
EMMBI.NS,0.4836053431260071
EMMIL.NS,0.540355405039126
EMSLIMITED.NS,0.5119955805356059
EMUDHRA.NS,0.40166723365171986
ENDURANCE.NS,0.3257144728842538
ENERGYDEV.NS,0.5440242584891952
ENFUSE.NS,0.6267942333657356
ENGINERSIN.NS,0.41850617641194204
ENIL.NS,0.44479302660349374
ENSER.NS,0.5908964626006163
ENTERO.NS,0.40287934488980226
EPACK.NS,0.5106254471157257
EPIGRAL.NS,0.4785086447657961
EPL.NS,0.3743327981461394
EQUIPPP.NS,0.6735795905720381
EQUITASBNK.NS,0.3735334366839477
ERIS.NS,0.30261650858151434
ESABINDIA.NS,0.3784598658251631
ESAFSFB.NS,0.36575677966335296
ESCONET.NS,0.5893400658977573
ESCORTS.NS,0.35524746159148657
ESFL.NS,0.5708612655066417
ESG.NS,0.13795840484886043
ESSARSHPNG.NS,0.5931407428860104
ESSENTIA.NS,0.5415518808843316
ESTER.NS,0.5034535574125316
