Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
MSUMI,MSUMI.NS,0.8198,0.8792,742
KIOCL,KIOCL.NS,1.549,1.3678,742
AEGISVOPAK,AEGISVOPAK.NS,1.3374,1.2261,262
ACMESOLAR,ACMESOLAR.NS,0.6263,0.7496,396
FORCEMOT,FORCEMOT.NS,1.5305,1.3554,700
MINDSPACE,MINDSPACE.NS,0.1424,0.4254,741
IFCI,IFCI.NS,1.5732,1.3841,742
IGL,IGL.NS,1.0218,1.0146,742
SUMICHEM,SUMICHEM.NS,0.868,0.9116,742
DEEPAKNTR,DEEPAKNTR.NS,1.0296,1.0198,740
RBLBANK,RBLBANK.NS,1.4451,1.2982,742
CESC,CESC.NS,1.2508,1.168,742
ASAHIINDIA,ASAHIINDIA.NS,0.8483,0.8984,742
NEULANDLAB,NEULANDLAB.NS,0.8136,0.8751,742
MTARTECH,MTARTECH.NS,1.0706,1.0473,742
BIRET,BIRET.NS,0.1538,0.433,737
KPIL,KPIL.NS,1.0883,1.0592,740
IIFL,IIFL.NS,1.3253,1.2179,742
PPLPHARMA,PPLPHARMA.NS,0.8903,0.9265,742
CUPID,CUPID.NS,0.7235,0.8147,742
GRINDWELL,GRINDWELL.NS,0.6999,0.7989,740
TRITURBINE,TRITURBINE.NS,0.99,0.9933,742
HBLENGINE,HBLENGINE.NS,1.4862,1.3258,742
CRAFTSMAN,CRAFTSMAN.NS,0.8543,0.9024,738
CREDITACC,CREDITACC.NS,0.8846,0.9227,742
PFIZER,PFIZER.NS,0.4203,0.6116,740
ASTRAZEN,ASTRAZEN.NS,0.5316,0.6862,740
AADHARHFC,AADHARHFC.NS,0.7788,0.8518,521
KAYNES,KAYNES.NS,1.4769,1.3196,742
OLAELEC,OLAELEC.NS,1.3411,1.2285,462
BOSCH-HCIL,BOSCH-HCIL.NS,0.947,0.9645,742
RAMCOCEM,RAMCOCEM.NS,0.9362,0.9573,740
HATSUN,HATSUN.NS,0.6152,0.7422,740
KPITTECH,KPITTECH.NS,1.1263,1.0846,742
BELRISE,BELRISE.NS,1.1709,1.1145,265
SUNTV,SUNTV.NS,0.6877,0.7908,742
CUB,CUB.NS,1.0765,1.0513,742
SAMMAANCAP,SAMMAANCAP.NS,1.3089,1.2069,742
AFFLE,AFFLE.NS,0.9154,0.9433,742
DEEPAKFERT,DEEPAKFERT.NS,1.2481,1.1662,742
GESHIP,GESHIP.NS,0.8542,0.9023,742
