Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
BANSWRAS,BANSWRAS.NS,0.7018,0.8002,738
MANAKSTEEL,MANAKSTEEL.NS,0.9833,0.9888,740
UGARSUGAR,UGARSUGAR.NS,0.8461,0.8969,742
VINYLINDIA,VINYLINDIA.NS,1.2374,1.159,738
VMARCIND,VMARCIND.NS,0.7982,0.8648,735
ARIES,ARIES.NS,1.4486,1.3006,738
TAKE,TAKE.NS,0.9631,0.9753,738
CGRAPHICS,CGRAPHICS.NS,1.0745,1.0499,539
SHALPAINTS,SHALPAINTS.NS,1.2699,1.1808,742
RAMAPHO,RAMAPHO.NS,1.2935,1.1966,740
GPECO,GPECO.NS,1.2224,1.149,490
KOTYARK,KOTYARK.NS,0.3805,0.5849,736
CYBERTECH,CYBERTECH.NS,-6.5199,0.25,740
RBMINFRA,RBMINFRA.NS,0.6606,0.7726,735
RADIANTCMS,RADIANTCMS.NS,0.9102,0.9398,742
ALBERTDAVD,ALBERTDAVD.NS,1.0463,1.031,738
MIRZAINT,MIRZAINT.NS,1.0043,1.0029,740
MAWANASUG,MAWANASUG.NS,0.6361,0.7562,742
VRAJ,VRAJ.NS,1.1246,1.0835,488
LIBERTSHOE,LIBERTSHOE.NS,1.0412,1.0276,740
FOODSIN,FOODSIN.NS,1.2764,1.1852,740
TOLINS,TOLINS.NS,1.6076,1.4071,435
ZTECH,ZTECH.NS,0.4767,0.6494,502
DENORA,DENORA.NS,1.0331,1.0222,740
ESFL,ESFL.NS,0.8625,0.9079,723
VERTOZ,VERTOZ.NS,0.7912,0.8601,740
HARRMALAYA,HARRMALAYA.NS,1.017,1.0114,742
PAKKA,PAKKA.NS,1.2368,1.1587,725
SYSTANGO,SYSTANGO.NS,1.1386,1.0929,735
DBEIL,DBEIL.NS,1.5387,1.3609,408
VALIANTLAB,VALIANTLAB.NS,1.0141,1.0094,665
DREAMFOLKS,DREAMFOLKS.NS,1.0541,1.0362,740
MOLDTECH,MOLDTECH.NS,1.2274,1.1524,738
ATALREAL,ATALREAL.NS,0.4543,0.6344,738
TRANSWORLD,TRANSWORLD.NS,1.222,1.1487,740
MEDICO,MEDICO.NS,0.5456,0.6956,740
GOACARBON,GOACARBON.NS,1.1885,1.1263,740
TRACXN,TRACXN.NS,1.0714,1.0479,742
AUTOIND,AUTOIND.NS,1.604,1.4047,740
VPRPL,VPRPL.NS,1.5703,1.3821,688
COASTCORP,COASTCORP.NS,1.0569,1.0381,740
HPAL,HPAL.NS,1.0954,1.0639,740
RUCHIRA,RUCHIRA.NS,1.0131,1.0087,740
MUTHOOTCAP,MUTHOOTCAP.NS,0.9299,0.953,740
ANLON,ANLON.NS,0.7428,0.8277,735
SPENCERS,SPENCERS.NS,1.2687,1.18,742
AARTISURF,AARTISURF.NS,1.0057,1.0038,738
RPPINFRA,RPPINFRA.NS,1.2588,1.1734,740
BAHETI,BAHETI.NS,0.9026,0.9347,737
UNIVASTU,UNIVASTU.NS,0.6046,0.7351,740
DYNPRO,DYNPRO.NS,0.6196,0.7451,740
VETO,VETO.NS,0.9484,0.9654,742
UFO,UFO.NS,1.0958,1.0642,740
SHANKARA,SHANKARA.NS,0.7749,0.8492,738
CORDSCABLE,CORDSCABLE.NS,1.3476,1.2329,740
PONNIERODE,PONNIERODE.NS,0.7947,0.8624,738
KCPSUGIND,KCPSUGIND.NS,0.9815,0.9876,740
BPL,BPL.NS,1.5074,1.34,742
DPEL,DPEL.NS,0.8909,0.9269,486
LYKALABS,LYKALABS.NS,1.0205,1.0137,738
JAYSREETEA,JAYSREETEA.NS,1.3004,1.2013,738
NOVAAGRI,NOVAAGRI.NS,1.1943,1.1302,586
TRF,TRF.NS,1.2893,1.1939,742
KMSUGAR,KMSUGAR.NS,0.895,0.9297,742
INTENTECH,INTENTECH.NS,1.3045,1.204,738
NURECA,NURECA.NS,0.9503,0.9667,740
VIPCLOTHNG,VIPCLOTHNG.NS,1.1727,1.1157,740
STARPAPER,STARPAPER.NS,0.9928,0.9951,742
GSLSU,GSLSU.NS,1.2368,1.1587,738
PRIZOR,PRIZOR.NS,1.1694,1.1135,471
UNIHEALTH,UNIHEALTH.NS,0.7076,0.8041,670
BHARATGEAR,BHARATGEAR.NS,1.0443,1.0297,742
TRIGYN,TRIGYN.NS,1.3919,1.2626,740
TRANSTEEL,TRANSTEEL.NS,0.7295,0.8188,640
