Symbol,Beta
MAXHEALTH.NS,0.636
MAXIND.NS,0.4987
MAYURUNIQ.NS,0.6946
MAZDA.NS,0.9132
MAZDOCK.NS,1.133
MBAPL.NS,0.3235
MBLINFRA.NS,0.4131
MCL.NS,0.8231
MCLEODRUSS.NS,0.6669
MCX.NS,0.9246
MDL.NS,0.25
MENONBE.NS,0.6008
MEP.NS,0.7253
METROPOLIS.NS,0.6874
MFSL.NS,0.9426
MGEL.NS,0.4162
MGL.NS,0.783
MHHL.NS,0.6533
MHRIL.NS,0.9211
MICEL.NS,0.7792
MIDHANI.NS,1.0103
MILTON.NS,0.25
MINDACORP.NS,0.7373
MINDPOOL.NS,0.25
MINDSPACE.NS,0.25
MINDTECK.NS,0.9458
MIRCELECTR.NS,0.7622
MIRZAINT.NS,1.1454
MITCON.NS,0.25
MITTAL.NS,0.6341
MKPL.NS,0.25
MMFL.NS,0.9541
MMP.NS,0.6376
MMTC.NS,0.8232
MODIRUBBER.NS,0.2563
MODISONLTD.NS,0.8518
MOHITIND.NS,0.4442
MOIL.NS,0.9132
MOKSH.NS,0.406
MOLDTECH.NS,0.7501
MOLDTKPAC.NS,0.6199
MONTECARLO.NS,0.784
MOREPENLAB.NS,1.2879
MOTHERSON.NS,1.4371
MOTILALOFS.NS,1.0754
MOTOGENFIN.NS,0.5025
MPHASIS.NS,0.658
MPSLTD.NS,1.1214
MPTODAY.NS,0.25
MRF.NS,0.6532
MRPL.NS,0.4854
MSPL.NS,0.6821
MSTCLTD.NS,1.1665
MTARTECH.NS,0.832
MTEDUCARE.NS,0.398
MTNL.NS,0.7435
MUKANDLTD.NS,0.9923
MUKTAARTS.NS,0.7448
MUNJALAU.NS,0.783
MUNJALSHOW.NS,1.0169
MURUDCERA.NS,1.0475
MUTHOOTCAP.NS,0.7385
MUTHOOTFIN.NS,1.2119
NACLIND.NS,0.6966
NAGAFERT.NS,0.2916
NAGREEKCAP.NS,0.554
NAGREEKEXP.NS,0.6009
NAHARCAP.NS,0.8085
NAHARINDUS.NS,1.0394
NAHARPOLY.NS,0.9531
NAHARSPING.NS,0.9857
NAM-INDIA.NS,1.0145
NARMADA.NS,0.25
NATCOPHARM.NS,0.6625
NATHBIOGEN.NS,0.8598
NATIONALUM.NS,1.132
NAUKRI.NS,1.1602
NAVA.NS,1.0588
NAVINFLUOR.NS,0.641
NAVKARCORP.NS,1.2479
NAVNETEDUL.NS,0.557
NAZARA.NS,0.973
NBCC.NS,0.885
NBIFIN.NS,0.4445
NCC.NS,1.1981
NCLIND.NS,0.7926
NDGL.NS,0.4491
NDL.NS,0.5944
NDLVENTURE.NS,0.8619
NDRAUTO.NS,1.2929
NDTV.NS,0.9493
NECCLTD.NS,0.7736
NECLIFE.NS,1.3597
NELCAST.NS,1.1614
NELCO.NS,0.9512
NEOGEN.NS,0.5639
NESCO.NS,0.6895
NESTLEIND.NS,0.7354
NETWORK18.NS,0.8766
NEULANDLAB.NS,1.0333
NEWGEN.NS,0.8274
NEXTMEDIA.NS,0.277
NFL.NS,0.8489
NH.NS,0.3793
NHPC.NS,0.6007
NIACL.NS,0.9529
NIBL.NS,0.4515
NIITLTD.NS,1.0087
NILAINFRA.NS,1.1098
NILASPACES.NS,0.3112
NILKAMAL.NS,0.4487
NIPPOBATRY.NS,0.902
NIRAJ.NS,0.8084
NITCO.NS,0.554
NITINSPIN.NS,0.644
NITIRAJ.NS,0.3417
NKIND.NS,0.25
NLCINDIA.NS,0.6429
NMDC.NS,0.9633
NOCIL.NS,1.1581
NOIDATOLL.NS,0.6752
NORBTEAEXP.NS,0.25
NPBET.NS,0.74
NRAIL.NS,0.7748
NRBBEARING.NS,0.6194
NSIL.NS,0.5503
NTPC.NS,0.675
NUCLEUS.NS,0.6771
NURECA.NS,0.9636
OAL.NS,0.9693
OBEROIRLTY.NS,0.8419
OFSS.NS,0.7311
OIL.NS,0.6357
OILCOUNTUB.NS,0.25
OLECTRA.NS,0.9017
OMAXAUTO.NS,0.7723
OMAXE.NS,0.5567
OMFURN.NS,0.25
OMINFRAL.NS,0.7968
ONELIFECAP.NS,0.4236
ONEPOINT.NS,0.6452
ONGC.NS,0.6519
ONMOBILE.NS,1.3535
ONWARDTEC.NS,0.8281
OPTIEMUS.NS,0.7296
ORBTEXP.NS,0.9211
ORCHPHARMA.NS,0.2511
ORICONENT.NS,0.7457
ORIENTALTL.NS,0.6095
ORIENTBELL.NS,0.757
ORIENTCEM.NS,1.1398
ORIENTCER.NS,0.9707
ORIENTELEC.NS,0.4062
ORIENTHOT.NS,0.7356
ORIENTLTD.NS,0.5783
ORIENTPPR.NS,1.3043
ORISSAMINE.NS,0.982
ORTEL.NS,0.25
ORTINGLOBE.NS,0.5466
OSIAHYPER.NS,0.3298
OSWALAGRO.NS,1.1494
OSWALGREEN.NS,0.8836
OSWALSEEDS.NS,0.294
PAGEIND.NS,0.5391
PAISALO.NS,0.5201
PALASHSECU.NS,0.4463
PALREDTEC.NS,0.3526
PANACEABIO.NS,0.5033
PANACHE.NS,0.5128
PANAMAPET.NS,0.9335
PANSARI.NS,0.25
PAR.NS,0.7772
PARACABLES.NS,0.585
PARAGMILK.NS,1.2081
PARASPETRO.NS,0.25
PARIN.NS,0.4355
PARSVNATH.NS,0.2983
PARTYCRUS.NS,0.6955
PASHUPATI.NS,0.25
PATANJALI.NS,0.7906
PATELENG.NS,1.2404
PATINTLOG.NS,0.7161
PAVNAIND.NS,0.6078
PCBL.NS,1.1152
PCJEWELLER.NS,0.8885
PDMJEPAPER.NS,0.7806
PDSL.NS,0.5621
PEARLPOLY.NS,0.4664
PENIND.NS,0.8513
PENINLAND.NS,0.4431
PERSISTENT.NS,0.6591
PETRONET.NS,0.5741
PFC.NS,1.2597
PFIZER.NS,0.3621
PFOCUS.NS,0.6668
PFS.NS,1.0535
PGEL.NS,0.9254
PGHH.NS,0.3207
PGHL.NS,0.595
PGIL.NS,0.8077
PGINVIT.NS,0.25
PHOENIXLTD.NS,0.5768
PIDILITIND.NS,0.6718
PIGL.NS,0.25
PIIND.NS,0.8802
PILANIINVS.NS,0.7274
PILITA.NS,0.8018
PIONEEREMB.NS,0.7295
PITTIENG.NS,0.9735
PKTEA.NS,0.4751
PLASTIBLEN.NS,0.7759
PNB.NS,1.0294
PNBHOUSING.NS,0.9999
PNC.NS,0.6555
PNCINFRA.NS,0.6855
POCL.NS,0.4657
PODDARMENT.NS,0.6618
POKARNA.NS,0.7283
POLYCAB.NS,0.9925
POLYMED.NS,0.6884
POLYPLEX.NS,1.1181
PONNIERODE.NS,0.7134
POONAWALLA.NS,1.0004
POWERGRID.NS,0.5262
POWERINDIA.NS,0.6246
POWERMECH.NS,0.8714
PPAP.NS,0.873
PPL.NS,0.9432
PRAENG.NS,0.881
PRAJIND.NS,1.0876
PRAKASH.NS,1.3366
PRAKASHSTL.NS,0.25
PRAXIS.NS,0.25
PRECAM.NS,0.754
PRECOT.NS,0.4955
PRECWIRE.NS,0.8194
PREMEXPLN.NS,0.4628
PREMIER.NS,0.25
PREMIERPOL.NS,0.4351
PRESTIGE.NS,1.2671
PRICOLLTD.NS,0.9776
PRIMESECU.NS,1.0175
PRINCEPIPE.NS,0.95
PRITI.NS,0.5517
PRIVISCL.NS,0.627
PROLIFE.NS,0.25
PROZONER.NS,0.8436
PRSMJOHNSN.NS,0.8495
PSB.NS,0.8379
PSPPROJECT.NS,0.7318
PTC.NS,0.5955
PTL.NS,0.6396
PULZ.NS,0.25
PUNJABCHEM.NS,0.7523
PURVA.NS,1.1391
PVP.NS,0.2768
PVRINOX.NS,0.7999
QUESS.NS,0.7716
QUICKHEAL.NS,1.2059
RADAAN.NS,0.3327
RADICO.NS,0.7501
RADIOCITY.NS,0.3015
RAILTEL.NS,1.1688
RAIN.NS,1.0865
RAJESHEXPO.NS,0.6522
RAJMET.NS,0.2678
RAJRATAN.NS,0.9662
RAJRILTD.NS,0.3008
RAJSREESUG.NS,0.7076
RAJTV.NS,0.5882
RALLIS.NS,0.784
RAMANEWS.NS,0.9336
RAMASTEEL.NS,0.5012
RAMCOCEM.NS,0.6721
RAMCOIND.NS,0.7473
RAMCOSYS.NS,0.8434
RAMKY.NS,0.8575
RANASUG.NS,0.5458
RANEHOLDIN.NS,1.0157
RATNAMANI.NS,0.5607
RAYMOND.NS,1.1658
RBA.NS,0.6349
RBLBANK.NS,1.3395
RCF.NS,0.9853
RCOM.NS,0.8386
RECLTD.NS,1.0024
REDINGTON.NS,0.6295
REFEX.NS,0.9466
REGENCERAM.NS,0.25
RELAXO.NS,0.4573
RELIABLE.NS,0.3944
RELIANCE.NS,1.2092
RELIGARE.NS,0.754
REMSONSIND.NS,0.9618
RENUKA.NS,0.8803
REPCOHOME.NS,0.8355
REPL.NS,0.4051
REPRO.NS,0.8102
RESPONIND.NS,0.6601
RGL.NS,1.0316
RHFL.NS,0.4377
RHIM.NS,0.6593
RICOAUTO.NS,1.1954
RIIL.NS,1.3375
RITES.NS,0.6582
RKDL.NS,0.25
RKEC.NS,0.7077
RKFORGE.NS,1.0742
RMDRIP.NS,0.566
RML.NS,1.1844
ROHLTD.NS,0.9443
ROLLT.NS,0.3354
ROML.NS,0.3518
ROSSARI.NS,0.7065
ROSSELLIND.NS,0.6189
ROUTE.NS,0.5562
RPGLIFE.NS,0.9168
RPOWER.NS,0.7524
RPPINFRA.NS,0.7224
RPPL.NS,0.4391
RPSGVENT.NS,1.0236
RSSOFTWARE.NS,0.4227
RSWM.NS,0.9594
RSYSTEMS.NS,0.7314
RTNINDIA.NS,0.6497
RTNPOWER.NS,0.642
RUBYMILLS.NS,1.0254
RUCHINFRA.NS,0.5265
RUCHIRA.NS,1.1898
RUPA.NS,0.9783
RUSHIL.NS,0.8983
RVHL.NS,0.7202
RVNL.NS,0.9972
S&SPOWER.NS,0.4206
SADBHAV.NS,0.645
SADBHIN.NS,0.592
SAFARI.NS,0.5036
SAGARDEEP.NS,0.3013
SAGCEM.NS,0.9646
SAIL.NS,1.52
SAKAR.NS,0.3971
SAKHTISUG.NS,0.8426
SAKSOFT.NS,1.0826
SAKUMA.NS,1.0515
SALASAR.NS,0.7327
SALONA.NS,0.8182
SALSTEEL.NS,0.4886
SALZERELEC.NS,0.903
SAMBHAAV.NS,0.5266
SAMMAANCAP.NS,1.4717
SAMPANN.NS,0.7725
SANCO.NS,0.4966
SANDESH.NS,0.5873
SANDHAR.NS,0.9502
SANGAMIND.NS,0.8089
SANGHVIMOV.NS,0.903
SANGINITA.NS,0.25
SANOFI.NS,0.3553
SANWARIA.NS,0.4605
SARDAEN.NS,1.1538
SAREGAMA.NS,0.5293
SARLAPOLY.NS,1.0744
SARVESHWAR.NS,0.3652
SASKEN.NS,0.6215
SATIA.NS,0.8221
SATIN.NS,0.6692
SBICARD.NS,0.7284
SBILIFE.NS,0.8538
SBIN.NS,1.1998
SCHAEFFLER.NS,0.4408
SCHAND.NS,0.4094
SCHNEIDER.NS,0.8645
SCI.NS,1.026
SDBL.NS,0.7951
SEAMECLTD.NS,0.9308
SECURKLOUD.NS,0.25
SEJALLTD.NS,0.2858
SELMC.NS,0.25
SEMAC.NS,0.4267
SEPC.NS,0.277
SERVOTECH.NS,0.3341
SESHAPAPER.NS,1.0708
SETCO.NS,0.6349
SEYAIND.NS,0.25
SFL.NS,0.2984
SGL.NS,0.3778
SHAH.NS,0.25
SHAHALLOYS.NS,0.25
SHAIVAL.NS,0.25
SHAKTIPUMP.NS,0.7552
SHALBY.NS,1.1635
SHALPAINTS.NS,0.9356
SHANKARA.NS,0.6729
SHANTI.NS,0.5073
SHANTIGEAR.NS,0.7012
SHARDACROP.NS,0.799
SHARDAMOTR.NS,1.0066
SHAREINDIA.NS,1.224
SHEKHAWATI.NS,0.25
SHEMAROO.NS,0.8152
SHILPAMED.NS,0.9712
SHIVAMAUTO.NS,1.0686
SHIVAMILLS.NS,0.8232
SHIVATEX.NS,0.674
SHIVAUM.NS,0.25
SHK.NS,0.9232
SHOPERSTOP.NS,0.7715
SHRADHA.NS,0.25
SHREDIGCEM.NS,0.7929
SHREECEM.NS,0.7711
SHREEPUSHK.NS,0.9119
SHREERAMA.NS,0.5649
SHRENIK.NS,0.5241
SHREYANIND.NS,1.021
SHRIPISTON.NS,0.5422
SHRIRAMFIN.NS,1.3532
SHUBHLAXMI.NS,0.4668
SHYAMCENT.NS,0.4985
SHYAMTEL.NS,0.25
SICALLOG.NS,0.2946
SIDDHIKA.NS,0.25
SIEMENS.NS,0.8564
SIGIND.NS,0.6015
SIGMA.NS,0.469
SIGMAADV.NS,0.5934
SIKKO.NS,0.5173
SIL.NS,0.2955
SILGO.NS,0.4221
SILINV.NS,1.0726
SILLYMONKS.NS,0.3189
SIMPLEXINF.NS,0.5634
SINTERCOM.NS,0.25
SIRCA.NS,0.5865
SIS.NS,0.3612
SITINET.NS,0.4197
SIYSIL.NS,0.9319
SJVN.NS,0.713
SKFINDIA.NS,0.5128
SKIPPER.NS,1.163
SKMEGGPROD.NS,0.679
SMARTLINK.NS,0.8021
SMCGLOBAL.NS,0.8023
SMLMAH.NS,0.8917
SMSPHARMA.NS,1.0907
SMVD.NS,0.3033
SNOWMAN.NS,0.7042
SOBHA.NS,0.6786
SOFTTECH.NS,0.4752
SOLARA.NS,1.185
SOLARINDS.NS,0.4372
SOLEX.NS,0.25
SOMANYCERA.NS,0.846
SOMATEX.NS,0.25
SOMICONVEY.NS,0.7362
SONAMLTD.NS,0.25
SONATSOFTW.NS,0.925
SOTL.NS,0.6931
SOUTHBANK.NS,0.8377
SOUTHWEST.NS,0.6492
SPAL.NS,0.6165
SPANDANA.NS,0.7283
SPARC.NS,1.0837
SPCENET.NS,0.5855
SPECIALITY.NS,0.9478
SPECTRUM.NS,0.25
SPENCERS.NS,1.1289
SPIC.NS,0.9119
SPLIL.NS,0.9859
SPLPETRO.NS,0.4616
SPMLINFRA.NS,0.6411
SREEL.NS,1.0004
SRF.NS,0.8606
SRHHYPOLTD.NS,1.2389
SSWL.NS,0.4188
STAR.NS,1.0917
STARCEMENT.NS,0.4771
STARPAPER.NS,1.0388
STCINDIA.NS,0.9489
STEELCITY.NS,0.7219
STEELXIND.NS,0.6968
STEL.NS,1.0853
STERTOOLS.NS,0.7334
STLTECH.NS,1.0416
STOVEKRAFT.NS,0.5546
STYRENIX.NS,0.7398
SUBEXLTD.NS,1.1783
SUBROS.NS,0.8434
SUDARCOLOR.NS,1.0347
SUDARSCHEM.NS,0.9155
SUMEETINDS.NS,0.3761
SUMICHEM.NS,0.7175
SUMIT.NS,0.4786
SUMMITSEC.NS,0.8625
SUNDARAM.NS,0.3685
SUNDARMFIN.NS,0.5856
SUNDRMBRAK.NS,0.6941
SUNDRMFAST.NS,0.3049
SUNDROP.NS,0.7657
SUNFLAG.NS,1.0822
SUNPHARMA.NS,0.7445
SUNTECK.NS,0.9851
SUNTV.NS,1.1478
SUPERHOUSE.NS,1.031
SUPERSPIN.NS,0.3218
SUPRAJIT.NS,0.7156
SUPREMEENG.NS,0.5517
SUPREMEIND.NS,0.3399
SUPREMEINF.NS,0.25
SURANASOL.NS,0.3733
SURANAT&P.NS,0.3123
SURANI.NS,0.25
SURYALAXMI.NS,0.8153
SURYAROSNI.NS,0.8495
SURYODAY.NS,0.7188
SUTLEJTEX.NS,1.1881
SUVEN.NS,0.7989
SUVIDHAA.NS,0.8457
SUZLON.NS,0.772
SVLL.NS,0.25
SWANCORP.NS,0.47
SWANDEF.NS,0.25
SWARAJENG.NS,0.4183
SWELECTES.NS,0.5806
SWSOLAR.NS,0.7166
SYMPHONY.NS,0.6928
SYNGENE.NS,0.502
TAINWALCHM.NS,0.8665
TAJGVK.NS,1.063
TAKE.NS,0.947
TALBROAUTO.NS,0.8274
TANLA.NS,0.7144
TARACHAND.NS,0.4629
TARAPUR.NS,0.2884
TARC.NS,1.0404
TARIL.NS,1.199
TARMAT.NS,0.5382
TASTYBITE.NS,0.8369
TATACHEM.NS,0.9712
TATACOMM.NS,0.7729
TATACONSUM.NS,0.9131
TATAELXSI.NS,1.0037
TATAINVEST.NS,0.6652
TATAPOWER.NS,0.8531
TATASTEEL.NS,1.1156
TBZ.NS,1.2066
TCI.NS,0.7108
TCIEXP.NS,0.5959
TCIFINANCE.NS,0.25
TCPLPACK.NS,1.0057
TCS.NS,0.8102
TDPOWERSYS.NS,0.7534
TEAMGTY.NS,0.4099
TEAMLEASE.NS,0.3992
TECHM.NS,0.8689
TECHNOE.NS,0.4339
TEJASNET.NS,0.8184
TEMBO.NS,0.3025
TERASOFT.NS,0.7579
TEXINFRA.NS,0.8399
TEXMOPIPES.NS,0.8934
TEXRAIL.NS,1.3951
TFCILTD.NS,0.8184
TFL.NS,0.3527
TGBHOTELS.NS,0.3978
THANGAMAYL.NS,0.7508
THEINVEST.NS,0.6318
THEJO.NS,0.5573
THEMISMED.NS,0.8394
THERMAX.NS,0.4941
THOMASCOOK.NS,0.7465
THOMASCOTT.NS,0.409
THYROCARE.NS,0.4487
TI.NS,0.7316
TICL.NS,0.25
TIIL.NS,0.6345
TIINDIA.NS,0.537
TIJARIA.NS,0.2631
TIL.NS,0.8506
TIMETECHNO.NS,0.8516
TIMKEN.NS,0.5564
TIPSMUSIC.NS,0.5934
TIRUMALCHM.NS,1.0178
TIRUPATI.NS,0.25
TIRUPATIFL.NS,0.4663
TITAGARH.NS,1.1161
TITAN.NS,0.9485
TMPV.NS,1.1446
TNPETRO.NS,0.9184
TNPL.NS,0.8109
TNTELE.NS,0.25
TOKYOPLAST.NS,0.5172
TORNTPHARM.NS,0.5037
TORNTPOWER.NS,0.6366
TOTAL.NS,0.6071
TOUCHWOOD.NS,0.5538
TPHQ.NS,0.25
TPLPLASTEH.NS,1.1438
TRANSWIND.NS,0.25
TRANSWORLD.NS,0.7318
TREEHOUSE.NS,0.3729
TREJHARA.NS,0.8143
TRENT.NS,0.8797
TRF.NS,1.0922
TRIDENT.NS,0.8046
TRIGYN.NS,1.059
TRITURBINE.NS,0.6565
TRIVENI.NS,0.9603
TSFINV.NS,0.7445
TTKHLTCARE.NS,0.8322
TTKPRESTIG.NS,0.6436
TTL.NS,0.7228
TTML.NS,0.6689
TVSELECT.NS,1.0243
TVSHLTD.NS,0.6657
TVSMOTOR.NS,0.5963
TVSSRICHAK.NS,0.8661
TVTODAY.NS,0.9162
TVVISION.NS,0.25
UBL.NS,0.6293
UCAL.NS,0.9802
UCL.NS,0.25
UCOBANK.NS,0.6227
UEL.NS,0.538
UFBL.NS,1.1251
UFLEX.NS,0.9112
UFO.NS,0.7986
UGARSUGAR.NS,0.7977
UJJIVANSFB.NS,0.7541
ULTRACEMCO.NS,0.9358
UMESLTD.NS,0.25
UMIYA-MRO.NS,0.4197
UNICHEMLAB.NS,0.544
UNIDT.NS,0.6669
UNIENTER.NS,0.718
UNIINFO.NS,0.3654
UNIONBANK.NS,0.8838
UNITDSPR.NS,0.7913
UNITECH.NS,0.25
UNITEDPOLY.NS,0.25
UNITEDTEA.NS,0.6145
UNIVASTU.NS,0.3856
UNIVCABLES.NS,0.8276
UNIVPHOTO.NS,0.5134
UNOMINDA.NS,0.5737
UPL.NS,0.9705
URAVIDEF.NS,0.25
URJA.NS,0.6204
USHAMART.NS,0.9939
UTIAMC.NS,0.8396
UTTAMSUGAR.NS,1.0081
UWCSL.NS,0.25
V2RETAIL.NS,0.8296
VADILALIND.NS,0.7277
VAIBHAVGBL.NS,1.1055
VAISHALI.NS,0.4904
VAKRANGEE.NS,0.6783
VALIANTORG.NS,0.9145
VARDHACRLC.NS,0.5158
VARDMNPOLY.NS,0.2571
VARROC.NS,0.801
VASA.NS,0.25
VASCONEQ.NS,1.0188
VASWANI.NS,0.842
VBL.NS,0.3755
VEDL.NS,1.122
VEEDOL.NS,0.5875
VENKEYS.NS,0.917
VENUSREM.NS,0.25
VERA.NS,0.25
VERTOZ.NS,0.7635
VESUVIUS.NS,0.6354
VETO.NS,0.8532
VGL.NS,0.6775
VGUARD.NS,0.4849
VHL.NS,0.8128
VHLTD.NS,0.5211
VIDHIING.NS,0.8465
VIJIFIN.NS,0.5223
VIKASECO.NS,0.3461
VIKASLIFE.NS,0.25
VIMTALABS.NS,0.9295
VINATIORGA.NS,0.6111
VINDHYATEL.NS,0.6627
VINNY.NS,0.3621
VINYLINDIA.NS,0.9797
VIPCLOTHNG.NS,0.7409
VIPIND.NS,0.9063
VIPULLTD.NS,0.2705
VISAKAIND.NS,0.7358
VISASTEEL.NS,0.7028
VISHNU.NS,1.012
VISHWARAJ.NS,0.4199
VIVIDHA.NS,0.9769
VIVIMEDLAB.NS,0.7416
VIYASH.NS,1.0395
VLSFINANCE.NS,1.0473
VMARCIND.NS,0.5841
VMART.NS,0.7398
VOLTAMP.NS,0.8158
VOLTAS.NS,0.6815
VRLLOG.NS,0.7086
VSCL.NS,0.25
VSSL.NS,0.6487
VSTIND.NS,0.3897
VSTTILLERS.NS,0.8373
VTL.NS,0.5175
WAAREEINDO.NS,0.25
WABAG.NS,1.0888
WALCHANNAG.NS,1.055
WANBURY.NS,0.4754
WEALTH.NS,0.25
WEBELSOLAR.NS,0.7895
WEIZMANIND.NS,0.7022
WEL.NS,0.3788
WELCORP.NS,0.9117
WELENT.NS,1.0525
WELINV.NS,0.6376
WELSPUNLIV.NS,1.1015
WENDT.NS,0.5779
WESTLIFE.NS,0.4154
WEWIN.NS,0.25
WHEELS.NS,0.6757
WHIRLPOOL.NS,0.5785
WILLAMAGOR.NS,0.647
WINDMACHIN.NS,0.9393
WINSOME.NS,1.7687
WIPL.NS,0.25
WIPRO.NS,0.84
WOCKPHARMA.NS,1.1072
WONDERLA.NS,0.6657
WORTHPERI.NS,0.6972
WSI.NS,0.25
WSTCSTPAPR.NS,0.7902
XCHANGING.NS,0.6832
XELPMOC.NS,0.6576
XPROINDIA.NS,0.7332
YESBANK.NS,0.5906
ZEEL.NS,1.1427
ZEELEARN.NS,0.6505
ZEEMEDIA.NS,0.8509
ZENITHEXPO.NS,0.3856
ZENITHSTL.NS,0.5482
ZENSARTECH.NS,0.8121
ZENTEC.NS,0.9054
ZFCVINDIA.NS,0.5118
ZODIAC.NS,0.3044
ZODIACLOTH.NS,0.7496
ZOTA.NS,0.5352
ZUARI.NS,1.2054
ZUARIIND.NS,0.955
ZYDUSLIFE.NS,0.7799
ZYDUSWELL.NS,0.631
