Symbol,Risk_Contribution,Risk_Contribution_Pct
ARROWGREEN.NS,9.402073303294113e-05,0.0005840079907833375
ARSHIYA.NS,8.003603962782323e-05,0.0004971423343075212
ARTEMISMED.NS,8.067892764741574e-05,0.0005011356209849327
ARTNIRMAN.NS,3.0995928655232246e-05,0.00019253061992256202
ARVEE.NS,3.627487027895127e-05,0.00022532066517833065
ARVIND.NS,0.00010708368160165494,0.0006651482467803609
ARVINDFASN.NS,9.791784196811717e-05,0.0006082148086380606
ARVSMART.NS,0.00010307208306823829,0.000640230278968844
ASAHIINDIA.NS,8.260855450772779e-05,0.0005131214614405434
ASAHISONG.NS,7.946605784416671e-05,0.0004936019033247111
ASAL.NS,0.00010958580014328683,0.0006806901084002677
ASALCBR.NS,9.705557526181693e-05,0.0006028588554304916
ASCOM.NS,-1.589036014987833e-06,-9.870266913046382e-06
ASHAPURMIN.NS,0.00011389948244694971,0.000707484463791617
ASHIANA.NS,7.094643147431093e-05,0.0004406824065500903
ASHIMASYN.NS,0.00012512875871899408,0.0007772348992757775
ASHOKA.NS,0.00012711886803279003,0.0007895964253381405
ASHOKAMET.NS,4.436531669328162e-05,0.0002755743188412723
ASHOKLEY.NS,8.940388404449155e-05,0.0005553305213091328
ASIANENE.NS,7.229299746442363e-05,0.00044904657552617526
ASIANHOTNR.NS,5.478497543711971e-05,0.0003402958304838684
ASIANPAINT.NS,3.8231679238938905e-05,0.00023747534672786526
ASIANTILES.NS,0.00010110426162663363,0.0006280071935996918
ASKAUTOLTD.NS,4.0070313149002423e-05,0.00024889598620773506
ASMS.NS,6.886357617850285e-05,0.0004277447905886073
ASPINWALL.NS,9.581809017207606e-05,0.0005951722403875022
ASPIRE.NS,2.811560054338509e-05,0.0001746395167676093
ASTEC.NS,7.453791638532868e-05,0.00046299084660529903
ASTERDM.NS,5.337741034834433e-05,0.00033155276676935264
ASTRAL.NS,6.487247211145561e-05,0.00040295412376422897
ASTRAMICRO.NS,0.000104595166402535,0.0006496908820631272
ASTRAZEN.NS,4.530189768244477e-05,0.00028139187380008554
ASTRON.NS,8.387035406259872e-05,0.0005209591053201471
ATALREAL.NS,3.9787659721646606e-05,0.00024714028983233816
ATAM.NS,5.051855382687835e-05,0.0003137950339887092
ATGL.NS,9.557283886181406e-05,0.0005936488665493838
ATL.NS,5.889546176771214e-05,0.00036582803796230404
ATLANTAA.NS,7.971209570258897e-05,0.0004951301627917318
ATLASCYCLE.NS,2.5037358727712023e-05,0.00015551907641445195
ATMASTCO.NS,4.683298749822403e-05,0.00029090220900145856
ATUL.NS,5.66690764091526e-05,0.0003519988877523578
ATULAUTO.NS,0.00010927421212530423,0.0006787546853668137
AUBANK.NS,6.85258882054094e-05,0.00042564724818156273
AURIGROW.NS,4.3149425257129454e-05,0.0002680218323658786
AURIONPRO.NS,9.577149665359403e-05,0.0005948828256357294
AUROIMPEX.NS,5.439554971512893e-05,0.00033787692003589835
AUROPHARMA.NS,5.6918355769826034e-05,0.0003535472817488143
AURUM.NS,8.448981851128129e-05,0.0005248068969334082
AUSOMENT.NS,7.430399118885381e-05,0.00046153782470704363
AUTOAXLES.NS,7.835437564017027e-05,0.0004866967105081641
AUTOIND.NS,0.00011323639634748036,0.0007033657171261152
AVADHSUGAR.NS,0.00011264634109023382,0.0006997006001447898
AVALON.NS,4.4721079691543425e-05,0.00027778413392256016
AVANTIFEED.NS,8.712657553068246e-05,0.0005411850628911744
AVG.NS,5.037391283890903e-05,0.0003128965992494343
AVONMORE.NS,5.35907379321716e-05,0.000332877846989329
AVPINFRA.NS,3.95958124689797e-05,0.00024594863427985434
