Symbol,Mean_Return,Annualized_Return,Volatility,Annualized_Volatility,Sharpe,Observations
ARTEMISMED.NS,0.0020767869626693923,0.5233503145926869,0.030067139253145532,0.47730103859382844,1.096478474328327,1581
ARTNIRMAN.NS,0.0008687110898239894,0.21891519463564532,0.031717932055719024,0.5035065619240573,0.43478121476530784,1599
ARVEE.NS,0.0018425123285378865,0.4643131067915474,0.036804125021878874,0.5842473721753269,0.79472006020801,1599
ARVIND.NS,0.0020507589158328533,0.5167912467898791,0.03097844094279254,0.4917675044347822,1.0508853109028793,1599
ARVINDFASN.NS,0.0007366236343711336,0.18562915586152567,0.02811600295549505,0.44632771008838157,0.41590327390779186,1599
ARVSMART.NS,0.0016976747057863006,0.42781402585814776,0.03100413057322124,0.4921753146751071,0.8692309693357025,1599
ASAHIINDIA.NS,0.001299803496488309,0.32755048111505386,0.026364648618196977,0.4185258218841114,0.7826290852031387,1599
ASAHISONG.NS,0.0009063658551854845,0.2284041955067421,0.032347156936315666,0.5134951972408155,0.44480298303476956,1599
ASAL.NS,0.0023490106651318787,0.5919506876132334,0.03443830097180075,0.5466910796818728,1.0827882685733556,1599
ASALCBR.NS,0.0011117209723322387,0.28015368502772414,0.027510987660460617,0.43672339002807276,0.6414899944097698,1569
ASCOM.NS,0.0018428278530554772,0.46439261896998024,0.023446721972263097,0.3722051723896922,1.2476791120026924,1599
ASHAPURMIN.NS,0.0027312159721925647,0.6882664249925263,0.035629118906410184,0.5655947283522657,1.2168897454147731,1599
ASHIANA.NS,0.001236715997037771,0.31165243125351827,0.027709821705302402,0.4398797826370193,0.7084945559107182,1599
ASHIMASYN.NS,0.001282965024893993,0.32330718627328625,0.037539086440492295,0.595914522996597,0.5425395317561886,1599
ASHOKA.NS,0.0006797135958048713,0.1712878261428276,0.02951463574771627,0.46853031735068496,0.36558536299503175,1599
ASHOKAMET.NS,0.00033931451103739676,0.08550725678142398,0.03303457888405178,0.5244076823576799,0.16305492779394967,733
ASHOKLEY.NS,0.0012571611670948758,0.3168046141079087,0.024277618309376275,0.38539524282934795,0.8220252325433841,1599
ASIANENE.NS,0.001333273309664703,0.33598487403550514,0.03284520801119836,0.5214015129469036,0.6443879921570534,1117
ASIANHOTNR.NS,0.0011382072644939311,0.28682823065247065,0.029486081496835757,0.46807703267046347,0.612779971313833,1599
ASIANPAINT.NS,0.0004031415811497983,0.10159167844974917,0.015936691143909654,0.25298712892818254,0.4015685654845659,1599
ASIANTILES.NS,1.597718175220158e-05,0.004026249801554798,0.030594231735997623,0.4856683723591777,0.0082901214711531,1599
ASKAUTOLTD.NS,0.0008627547809303579,0.2174142047944502,0.022739115686450977,0.3609722708392624,0.6023016789875882,638
ASMS.NS,0.0011926082612674844,0.3005372818394061,0.033293953910531866,0.5285251332558825,0.5686338509353398,1599
ASPINWALL.NS,0.0009192212406544265,0.2316437526449155,0.03336686357922814,0.5296825383651372,0.43732563538885555,1599
ASPIRE.NS,-0.0018245252354061894,-0.4597803593223597,0.03814361751073548,0.6055111562266481,-0.7593259919231942,545
ASTEC.NS,0.0008367833646056421,0.2108694078806218,0.031032996441916517,0.49263354613478044,0.42804516569184203,1599
ASTERDM.NS,0.0014205794803632968,0.3579860290515508,0.024572394288922505,0.39007466643547667,0.9177371920172269,1599
ASTRAL.NS,0.0008296188788522782,0.2090639574707741,0.021939827407657157,0.3482839627700386,0.6002686882508361,1599
ASTRAMICRO.NS,0.002306081614513185,0.5811325668573226,0.029654527885780324,0.47075103619682857,1.2344796339743833,1599
ASTRAZEN.NS,0.0010588266170289793,0.26682430749130276,0.023551512282226867,0.37386866698953325,0.7136845931482477,1599
ASTRON.NS,-0.0009723744869751385,-0.2450383707177349,0.03023477485409324,0.47996217125975943,-0.5105368410068263,1599
ATALREAL.NS,0.002401507616589955,0.6051799193806687,0.03390527494921662,0.5382295538933718,1.1243899837959481,1377
ATAM.NS,-0.0009877182599171102,-0.2489050014991118,0.030972434288430696,0.4916721517528644,-0.5062418129880624,767
ATGL.NS,0.0016349203578772825,0.4119999301850752,0.03435322742499695,0.5453405789939144,0.7554910565158452,1599
ATL.NS,-0.0003153703004424916,-0.07947331571150788,0.031577095934572835,0.5012708578110506,-0.15854365852934663,702
ATLANTAA.NS,0.0018511931343290916,0.4665006698509311,0.035935454212281934,0.570457650575079,0.8177656472494518,1599
ATLASCYCLE.NS,0.00022241978986286786,0.0560497870454427,0.021218616890750133,0.3368351007460766,0.16640126554891285,1599
ATMASTCO.NS,0.0022171829572856902,0.558730105235994,0.03960182501021352,0.6286594826479375,0.8887643003213785,570
ATUL.NS,0.0005029881470499654,0.12675301305659128,0.018719882946683433,0.2971689290949802,0.4265352149789485,1599
ATULAUTO.NS,0.0008381922094277278,0.21122443677578742,0.02954518310467347,0.4690152416089994,0.450357297667263,1599
AUBANK.NS,0.0009344114233399046,0.23547167868165594,0.024467187675738234,0.388404563226887,0.6062536359648918,1599
AURIGROW.NS,0.00040258901536706436,0.10145243187250022,0.03751696799296846,0.5955634035273876,0.17034698786329108,1599
AURIONPRO.NS,0.002719008117854437,0.6851900456993181,0.035753104793877714,0.56756294329819,1.2072494404190308,1599
AUROIMPEX.NS,-0.00037176113914753303,-0.09368380706517833,0.039931786433697686,0.6338974578606413,-0.14779016054324384,758
AUROPHARMA.NS,0.0010258439920726936,0.25851268600231875,0.022702723016692912,0.3603945551169092,0.7173046382969333,1599
AURUM.NS,0.0029550468071017403,0.7446717953896386,0.03142541125912442,0.4988629382374343,1.4927382619777045,1599
AUSOMENT.NS,0.0015063320080634674,0.3795956660319938,0.038223435299461886,0.6067782243416631,0.6255921040077603,1599
