Symbol,Volatility_252D,ATR_Pct
DBREALTY,0.61,0.024
DBSTOCKBRO,0.5605,0.0297
DCAL,0.5728,0.0206
DCBBANK,0.3933,0.0122
DCG,0.5574,0.029
DCI,0.494,0.0119
DCM,0.5281,0.0242
DCMFINSERV,0.541,0.0165
DCMNVL,0.5166,0.0182
DCMSHRIRAM,0.4293,0.0115
DCMSRIND,0.5552,0.0191
DCW,0.5409,0.0241
DCXINDIA,0.5109,0.0292
DDEVPLSTIK,0.4996,0.0148
DECCANCE,0.4017,0.0113
DEEDEV,0.5393,0.0393
DEEM,0.6214,0.0504
DEEPAKFERT,0.4929,0.0151
DEEPAKNTR,0.3868,0.012
DEEPINDS,0.5272,0.0228
DELAPLEX,0.5448,0.0435
DELHIVERY,0.3778,0.0112
DELPHIFX,0.5719,0.0537
DELTACORP,0.4702,0.0324
DELTAMAGNT,0.5843,0.0141
DEN,0.4415,0.0191
DENEERS,0.5363,0.0328
DENORA,0.5608,0.0232
DENTA,0.5409,0.0142
DENTALKART,0.5294,0.025
DESTINY,0.542,0.0
DEVIT,0.55,0.0224
DEVYANI,0.3728,0.0147
DGCONTENT,0.5501,0.0255
DHAMPURSUG,0.4623,0.0117
DHANBANK,0.4974,0.0221
DHANLAXMI,0.6165,0.031
DHANUKA,0.3723,0.0141
DHARMAJ,0.4478,0.0086
DHRUV,0.5051,0.0239
DHTL,0.6047,0.0177
DHUNINV,0.5309,0.0183
DIACABS,0.7028,0.0351
DIAMINESQ,0.4408,0.0118
DIAMONDYD,0.3747,0.0169
DICIND,0.357,0.0166
DIFFNKG,0.5518,0.0153
DIGIDRIVE,0.4768,0.0125
DIGIKORE,0.6852,0.0363
DIGISPICE,0.5612,0.0062
DIGITIDE,0.4955,0.021
DIGJAMLMTD,0.5803,0.0229
DISHTV,0.5818,0.0173
DIVGIITTS,0.3896,0.0186
DIVISLAB,0.2852,0.0105
DIXON,0.409,0.0154
DJML,0.4608,0.0215
DKEGL,0.6525,0.0191
DLF,0.3868,0.0183
DLINKINDIA,0.5044,0.013
DMART,0.3027,0.0118
DMCC,0.4896,0.018
DNAMEDIA,0.7435,0.0128
DODLA,0.3653,0.0091
DOLATALGO,0.5177,0.0129
DOLLAR,0.4444,0.011
DOLLEX,0.4495,0.0147
DOLPHIN,0.4219,0.0065
DOMS,0.3731,0.0137
DONEAR,0.5049,0.0102
DPABHUSHAN,0.4994,0.0095
DPEL,0.556,0.0043
DPSCLTD,0.5688,0.013
DPWIRES,0.56,0.0122
DRCSYSTEMS,0.5651,0.0089
DREAMFOLKS,0.4356,0.0201
