Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Last_Updated,Market_Cap,Last_Close,Avg_Volume,ADV,History_Days,Missing_Close,Exchange,Country,Currency,Asset_Class,Metadata_Source,Market_Cap_Category,Liquidity_Category
VBL,VBL.NS,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,2026-06-20,1761161643468.5947,522.2000122070312,6326317.512510089,3303603082.258324,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
SBILIFE,SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,2026-06-20,1715022042002.1074,1706.300048828125,1263760.709443099,2156354960.2298265,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BSE,BSE.NS,BSE Limited,Financial Services,Financial Data & Stock Exchanges,2026-06-20,1613632028905.879,4019.0,6363405.521388216,25574526790.45924,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HYUNDAI,HYUNDAI.NS,HYUNDAI MOTOR INDIA LTD,Consumer Cyclical,Auto Manufacturers,2026-06-20,1606718790977.4292,1992.0,1111552.2696078431,2214212121.058824,408,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
PIDILITIND,PIDILITIND.NS,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,2026-06-20,1561674518819.231,1537.9000244140625,792373.95803067,1218591929.4004347,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TVSMOTOR,TVSMOTOR.NS,TVS Motor Company Limited,Consumer Cyclical,Auto Manufacturers,2026-06-20,1560215354350.0137,3309.39990234375,1298205.598062954,4296281479.45165,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
CUMMINSIND,CUMMINSIND.NS,Cummins India Limited,Industrials,Specialty Industrial Machinery,2026-06-20,1558695600000.0,5613.0,715441.9257465698,4015775529.215496,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
SOLARINDS,SOLARINDS.NS,Solar Industries India Limited,Basic Materials,Specialty Chemicals,2026-06-20,1555524045450.0,17117.0,105090.1381260097,1798827894.302908,1238,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,1548083320155.3125,4569.2998046875,349131.1549636804,1595284918.185866,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
JIOFIN,JIOFIN.NS,Jio Financial Services Limited,Financial Services,Asset Management,2026-06-20,1545597408058.4636,234.8500061035156,21377679.808633093,5020548233.536485,695,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
POWERINDIA,POWERINDIA.NS,Hitachi Energy India Limited,Industrials,Electrical Equipment & Parts,2026-06-20,1518803269225.0,34185.0,80318.13236481033,2745675354.8910413,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
MOTHERSON,MOTHERSON.NS,Samvardhana Motherson International Limited,Consumer Cyclical,Auto Parts,2026-06-20,1494697571482.7888,143.4499969482422,24319805.633575466,3488676043.918244,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TRENT,TRENT.NS,Trent Limited,Consumer Cyclical,Apparel Retail,2026-06-20,1458283722811.5334,2752.699951171875,912143.6715092816,2510857840.025335,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ABB,ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery,2026-06-20,1429321989375.0,6757.0,336403.1355932204,2273075987.20339,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
POLYCAB,POLYCAB.NS,Polycab India Limited,Industrials,Electrical Equipment & Parts,2026-06-20,1428950146682.0,9523.0,492801.4850686037,4692948542.308313,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,2026-06-20,1425337215345.0,909.5999755859376,2692493.775625505,2449092272.574248,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
DLF,DLF.NS,DLF Limited,Real Estate,Real Estate - Development,2026-06-20,1417487308873.3147,583.25,4898593.828087167,2857104850.23184,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TMPV,TMPV.NS,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,Auto Manufacturers,2026-06-20,1413502942889.8037,388.0,16037632.68361582,6222601481.242938,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BANKBARODA,BANKBARODA.NS,Bank of Baroda Limited,Financial Services,Banks - Regional,2026-06-20,1413074715411.75,274.25,21606270.89426957,5925519792.753429,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
PFC,PFC.NS,Power Finance Corporation Limited,Financial Services,Credit Services,2026-06-20,1375317408480.0,419.2999877929688,10121600.68361582,4243987043.085417,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BHEL,BHEL.NS,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,2026-06-20,1296720372149.172,376.8999938964844,24832937.530266345,9359534003.589165,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services,2026-06-20,1291434860067.0078,1533.9000244140625,1914933.3486682808,2937316310.273578,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,Banks - Regional,2026-06-20,1286796953082.1873,168.69000244140625,15998937.949959643,2698860881.8386,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TECHM,TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services,2026-06-20,1270563231285.0,1429.9000244140625,2488594.665052461,3558441572.3152204,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
SIEMENS,SIEMENS.NS,Siemens Limited,Industrials,Specialty Industrial Machinery,2026-06-20,1264192145922.107,3554.89990234375,620351.5218093699,2205287564.298926,1238,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BPCL,BPCL.NS,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,2026-06-20,1259985253264.8115,299.6499938964844,10396908.502017757,3115433569.1719275,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TATAPOWER,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,2026-06-20,1255289160541.755,393.3500061035156,17561736.4834544,6907909152.955121,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
GVT&D,GVT&D.NS,GE Vernova T&D India Ltd,Industrials,Specialty Industrial Machinery,2026-06-20,1253219765557.5,4890.0,315816.88942695723,1544344589.2978208,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
