Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Market_Cap
BORANA,BORANA.NS,,,,0
BOROLTD,BOROLTD.NS,,,,0
BORORENEW,BORORENEW.NS,,,,0
BOROSCI,BOROSCI.NS,,,,0
BOSCH-HCIL,BOSCH-HCIL.NS,,,,0
BOSCHLTD,BOSCHLTD.NS,,,,0
BPCL,BPCL.NS,,,,0
BPL,BPL.NS,,,,0
BRIGADE,BRIGADE.NS,,,,0
BRIGHOTEL,BRIGHOTEL.NS,,,,0
BRITANNIA,BRITANNIA.NS,,,,0
BRNL,BRNL.NS,,,,0
BROOKS,BROOKS.NS,,,,0
BSE,BSE.NS,,,,0
BSHSL,BSHSL.NS,,,,0
BSL,BSL.NS,,,,0
BSOFT,BSOFT.NS,,,,0
BTML,BTML.NS,,,,0
BTTL,BTTL.NS,,,,0
BUILDPRO,BUILDPRO.NS,,,,0
BUTTERFLY,BUTTERFLY.NS,,,,0
BVCL,BVCL.NS,,,,0
BYKE,BYKE.NS,,,,0
CADSYS,CADSYS.NS,,,,0
CALSOFT,CALSOFT.NS,,,,0
CAMLINFINE,CAMLINFINE.NS,,,,0
CAMPUS,CAMPUS.NS,,,,0
CAMS,CAMS.NS,,,,0
CANARYS,CANARYS.NS,,,,0
CANBK,CANBK.NS,,,,0
CANFINHOME,CANFINHOME.NS,,,,0
CANHLIFE,CANHLIFE.NS,,,,0
CANTABIL,CANTABIL.NS,,,,0
CAPACITE,CAPACITE.NS,,,,0
CAPILLARY,CAPILLARY.NS,,,,0
CAPITALSFB,CAPITALSFB.NS,,,,0
CAPLIPOINT,CAPLIPOINT.NS,,,,0
CAPTRUST,CAPTRUST.NS,,,,0
CARBORUNIV,CARBORUNIV.NS,,,,0
CARERATING,CARERATING.NS,,,,0
CARRARO,CARRARO.NS,,,,0
CARTRADE,CARTRADE.NS,,,,0
CARYSIL,CARYSIL.NS,,,,0
CASTROLIND,CASTROLIND.NS,,,,0
CBAZAAR,CBAZAAR.NS,,,,0
CCAVENUE,CCAVENUE.NS,,,,0
CCCL,CCCL.NS,,,,0
CCHHL,CCHHL.NS,,,,0
CCL,CCL.NS,,,,0
CDSL,CDSL.NS,,,,0
CEATLTD,CEATLTD.NS,,,,0
CEIGALL,CEIGALL.NS,,,,0
CEINSYS,CEINSYS.NS,,,,0
CELEBRITY,CELEBRITY.NS,,,,0
CELLECOR,CELLECOR.NS,,,,0
CELLO,CELLO.NS,,,,0
CELLPOINT,CELLPOINT.NS,,,,0
CEMPRO,CEMPRO.NS,,,,0
