Symbol,Company_Name,Sector,Signal,Signal_Score,In_Portfolio
ORIENTCEM,Orient Cement Limited,Basic Materials,REDUCE,32.25634178905207,False
GREENPANEL,Greenpanel Industries Limited,Basic Materials,REDUCE,32.1762349799733,False
RAMAPHO,Rama Phosphates Limited,Basic Materials,REDUCE,32.01602136181576,False
LEMONTREE,Lemon Tree Hotels Limited,Consumer Cyclical,REDUCE,32.00934579439252,False
GULFOILLUB,Gulf Oil Lubricants India Limited,Basic Materials,REDUCE,31.929238985313756,False
PVSL,Popular Vehicles and Services Limited,Consumer Cyclical,REDUCE,31.922563417890522,False
JKLAKSHMI,JK Lakshmi Cement Limited,Basic Materials,REDUCE,31.902536715620826,False
ZUARIIND,Zuari Industries Limited,Industrials,REDUCE,31.89919893190921,False
SUDARSCHEM,Sudarshan Chemical Industries Limited,Basic Materials,REDUCE,31.85580774365821,False
BDL,Bharat Dynamics Limited,Industrials,REDUCE,31.795727636849136,False
DBREALTY,Valor Estate Limited,Real Estate,REDUCE,31.705607476635514,False
HCLTECH,HCL Technologies Limited,Technology,REDUCE,31.695594125500666,False
MASTEK,Mastek Limited,Technology,REDUCE,31.64886515353805,False
EIHOTEL,EIH Limited,Consumer Cyclical,REDUCE,31.628838451268358,False
EIHAHOTELS,EIH Associated Hotels Limited,Consumer Cyclical,REDUCE,31.55874499332443,False
CELLO,Cello World Limited,Consumer Cyclical,REDUCE,31.555407209612817,False
YATRA,Yatra Online Limited,Consumer Cyclical,REDUCE,31.52536715620828,False
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Cyclical,REDUCE,31.52202937249666,False
INOXWIND,Inox Wind Limited,Industrials,REDUCE,31.518691588785046,False
EMBDL,Embassy Developments Limited,Real Estate,REDUCE,31.491989319092124,False
PGHH,Procter & Gamble Hygiene and Health Care Limited,Consumer Defensive,REDUCE,31.431909212283045,False
IDBI,IDBI Bank Limited,Financial Services,REDUCE,31.15487316421896,False
KALAMANDIR,Sai Silks (Kalamandir) Limited,Consumer Cyclical,REDUCE,31.14485981308411,False
VIPCLOTHNG,VIP Clothing Limited,Consumer Cyclical,REDUCE,31.12817089452603,False
KCPSUGIND,K.C.P. Sugar and Industries Corporation Limited,Consumer Defensive,REDUCE,31.124833110814418,False
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,REDUCE,31.104806408544725,False
XCHANGING,Xchanging Solutions Limited,Technology,REDUCE,31.098130841121495,False
WESTLIFE,Westlife Foodworld Limited,Consumer Cyclical,REDUCE,30.994659546061413,False
LTM,LTM Limited,Technology,REDUCE,30.98464619492657,False
SOLEX,SOLEX ENERGY LIMITED,Technology,REDUCE,30.907877169559413,False
SBICARD,SBI Cards and Payment Services Limited,Financial Services,REDUCE,30.88785046728972,False
TRANSRAILL,TRANSRAIL LIGHTING LTD,Industrials,REDUCE,30.85113484646195,False
NETWORK18,Network18 Media & Investments Limited,Communication Services,REDUCE,30.7543391188251,False
KIRIINDUS,Kiri Industries Limited,Basic Materials,REDUCE,30.74766355140187,False
HPAL,HP Adhesives Limited,Basic Materials,REDUCE,30.714285714285715,False
RUSTOMJEE,Keystone Realtors Limited,Real Estate,REDUCE,30.68090787716956,False
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,REDUCE,30.654205607476634,False
CAPACITE,Capacit'e Infraprojects Limited,Industrials,REDUCE,30.620827770360485,False
SAKSOFT,Saksoft Limited,Technology,REDUCE,30.564085447263018,False
KRSNAA,Krsnaa Diagnostics Limited,Healthcare,REDUCE,30.514018691588788,False
LIBERTSHOE,Liberty Shoes Ltd.,Consumer Cyclical,REDUCE,30.493991989319092,False
TCPLPACK,TCPL Packaging Limited,Consumer Cyclical,REDUCE,30.477303070761018,False
NURECA,Nureca Limited,Healthcare,REDUCE,30.423898531375173,False
VIDHIING,Vidhi Specialty Food Ingredients Limited,Basic Materials,REDUCE,30.420560747663554,False
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,REDUCE,30.387182910547395,False
JKIL,J. Kumar Infraprojects Limited,Industrials,REDUCE,30.330440587449935,False
JYOTHYLAB,Jyothy Labs Limited,Consumer Defensive,REDUCE,30.31041388518024,False
TARC,TARC Limited,Real Estate,REDUCE,30.29038718291055,False
SPENCERS,Spencer's Retail Limited,Consumer Cyclical,REDUCE,30.240320427236313,False
JUBLFOOD,Jubilant FoodWorks Limited,Consumer Cyclical,REDUCE,30.17690253671562,False
HERANBA,Heranba Industries Limited,Basic Materials,REDUCE,30.09012016021362,False
ABREL,Aditya Birla Real Estate Limited,Real Estate,REDUCE,30.03004005340454,False
CSLFINANCE,CSL Finance Limited,Financial Services,REDUCE,30.026702269692926,False
DEVYANI,Devyani International Limited,Consumer Cyclical,REDUCE,30.020026702269696,False
SWANCORP,Swan Corp Limited,Industrials,REDUCE,30.020026702269696,False
LATENTVIEW,Latent View Analytics Limited,Industrials,REDUCE,29.889853137516692,False
HIKAL,Hikal Limited,Healthcare,REDUCE,29.886515353805073,False
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,Financial Services,REDUCE,29.869826435246996,False
NEWGEN,Newgen Software Technologies Limited,Technology,REDUCE,29.83978638184246,False
UTIAMC,UTI Asset Management Company Limited,Financial Services,REDUCE,29.776368491321765,False
EPACK,EPACK Durable Limited,Consumer Cyclical,REDUCE,29.66622162883845,False
KUANTUM,Kuantum Papers Limited,Basic Materials,REDUCE,29.63618157543391,False
LINC,Linc Limited,Industrials,REDUCE,29.59946595460614,False
KEC,KEC International Limited,Industrials,REDUCE,29.439252336448597,False
TRANSTEEL,"TRANSTEEL.NS,0P0001RSSZ,92000",,REDUCE,29.425901201602137,False
FIRSTCRY,BRAINBEES SOLUTIONS LTD,Consumer Cyclical,REDUCE,29.41255006675567,False
WCIL,WESTERN CARRIERS (IND) L,Industrials,REDUCE,29.402536715620826,False
SULA,Sula Vineyards Limited,Consumer Defensive,REDUCE,29.402536715620826,False
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,REDUCE,29.35580774365821,False
DCAL,Dishman Carbogen Amcis Limited,Healthcare,REDUCE,29.322429906542055,False
YUKEN,Yuken India Limited,Industrials,REDUCE,29.312416555407207,False
MANAKCOAT,Manaksia Coated Metals & Industries Limited,Industrials,REDUCE,29.289052069425903,False
BPL,BPL Limited,Technology,REDUCE,29.2890520694259,False
GHCL,GHCL Limited,Basic Materials,REDUCE,29.28237650200267,False
RKSWAMY,R K SWAMY LIMITED,Communication Services,REDUCE,29.252336448598133,False
ARKADE,ARKADE DEVELOPERS LIMITED,Real Estate,REDUCE,29.248998664886514,False
MHRIL,Mahindra Holidays & Resorts India Limited,Consumer Cyclical,REDUCE,29.228971962616825,False
ORIENTTECH,ORIENT TECHNOLOGIES LTD,Technology,REDUCE,29.17556742323098,False
SIGNATURE,Signatureglobal (India) Limited,Real Estate,REDUCE,29.168891855807743,False
SUDARCOLOR,Sudarshan Colorants India Limited,Basic Materials,REDUCE,29.09212283044059,False
PENIND,Pennar Industries Limited,Industrials,REDUCE,29.025367156208283,False
PAKKA,Pakka Limited,Basic Materials,REDUCE,28.94192256341789,False
DENTA,DENTA WATER N INFRA SOL L,Industrials,REDUCE,28.868491321762352,False
TRIGYN,Trigyn Technologies Limited,Technology,REDUCE,28.77503337783712,False
CUB,City Union Bank Limited,Financial Services,REDUCE,28.775033377837115,False
ZENSARTECH,Zensar Technologies Limited,Technology,REDUCE,28.641522029372496,False
SYMPHONY,Symphony Limited,Consumer Cyclical,REDUCE,28.62483311081442,False
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,REDUCE,28.61148197596796,False
CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,REDUCE,28.541388518024032,False
NUCLEUS,Nucleus Software Exports Limited,Technology,REDUCE,28.32109479305741,False
